Variant_ID	Baseline_STAAR_O_pval	LOO_STAAR_O_pval	Delta_log10p	Position
var44	0.00543151758899607	0.00543151758899607	0	44
var45	0.00543151758899607	0.00669358895552685	-0.0907378491292201	45
var46	0.00543151758899607	0.00464178297632889	0.068236358833162	46
var47	0.00543151758899607	0.00543151758899607	0	47
var48	0.00543151758899607	0.00534468854595382	0.00699878786461206	48
var49	0.00543151758899607	0.00543151758899607	0	49
var50	0.00543151758899607	0.00543151758899607	0	50
var51	0.00543151758899607	0.00601499279803619	-0.0443139214202186	51
var52	0.00543151758899607	0.00543151758899607	0	52
var53	0.00543151758899607	0.00576272081373852	-0.0257063895870768	53
var54	0.00543151758899607	0.00543151758899607	0	54
var55	0.00543151758899607	0.00543151758899607	0	55
var56	0.00543151758899607	0.00493585523318207	0.0415587767451844	56
var57	0.00543151758899607	0.00460441766463626	0.0717464788598883	57
var58	0.00543151758899607	0.00482419118867594	0.0514966791580509	58
var59	0.00543151758899607	0.00543151758899607	0	59
var60	0.00543151758899607	0.00543151758899607	0	60
var61	0.00543151758899607	0.00498217717735661	0.0375020223021716	61
var62	0.00543151758899607	0.00471408000460627	0.0615242414172328	62
var63	0.00543151758899607	0.00818875167143462	-0.178296510825565	63
var64	0.00543151758899607	0.00543151758899607	0	64
var65	0.00543151758899607	0.00569151450605276	-0.0203066568209636	65
var66	0.00543151758899607	0.00525651404839567	0.0142233608265507	66
var67	0.00543151758899607	0.00454956800991924	0.0769510287268704	67
var68	0.00543151758899607	0.00543151758899607	0	68
var69	0.00543151758899607	0.00543151758899607	0	69
var70	0.00543151758899607	0.0072105192825962	-0.12304535232997	70
var71	0.00543151758899607	0.0057579425778207	-0.0253461392194021	71
var72	0.00543151758899607	0.00508681048758453	0.0284756322489321	72
var73	0.00543151758899607	0.00544456543429051	-0.00104203138547243	73
var74	0.00543151758899607	0.00543151758899607	0	74
var75	0.00543151758899607	0.00496999880007942	0.0385649063793738	75
var76	0.00543151758899607	0.00516404611412957	0.021931078465844	76
var77	0.00543151758899607	0.00492767571040198	0.0422790710176129	77
var78	0.00543151758899607	0.00543151758899607	0	78
var79	0.00543151758899607	0.00543151758899607	0	79
var80	0.00543151758899607	0.00478579423238412	0.0549671682893638	80
var81	0.00543151758899607	0.00543151758899607	0	81
var82	0.00543151758899607	0.00458041272470133	0.0740165777614825	82
var83	0.00543151758899607	0.00543151758899607	0	83
var84	0.00543151758899607	0.00458804744205033	0.0732932902471903	84
var85	0.00543151758899607	0.00581204866891782	-0.0294080520753992	85
var86	0.00543151758899607	0.00543151758899607	0	86
var87	0.00543151758899607	0.00543151758899607	0	87
var88	0.00543151758899607	0.00543151758899607	0	88
var89	0.00543151758899607	0.00451200492623971	0.0805516251183884	89
var90	0.00543151758899607	0.00597824933344349	-0.0416528338393376	90
var91	0.00543151758899607	0.00483392467736743	0.0506213113496381	91
var92	0.00543151758899607	0.00638126729665545	-0.0699857463436584	92
var93	0.00543151758899607	0.00576482375281684	-0.025864843946954	93
var94	0.00543151758899607	0.00543151758899607	0	94
var95	0.00543151758899607	0.00543151758899607	0	95
var96	0.00543151758899607	0.00460384454556961	0.0718005395377359	96
var97	0.00543151758899607	0.00543151758899607	0	97
var98	0.00543151758899607	0.00463678671333256	0.0687040709335687	98
var99	0.00543151758899607	0.00543151758899607	0	99
var100	0.00543151758899607	0.00543151758899607	0	100
